cell_id,green_200m,open_200m,commercial_200m,industrial_200m,residential_200m,highway_200m,majroad_200m,road_200m,busroutes_200m,rail_200m,npri_pm_200m,npri_nox_200m,busstop_200m,green_500m,open_500m,commercial_500m,industrial_500m,residential_500m,highway_500m,majroad_500m,road_500m,busroutes_500m,rail_500m,npri_pm_500m,npri_nox_500m,busstop_500m,distance_shore,distance_airport,distance_port,distance_trxstn,distance_npri_pm,distance_npri_nox,lon,lat
69,0,0,0,0,0,0,0,0,0,992.4959559268066,0,0,0,0,0,0,0,0,0,0,0,0,1633.2474690169524,0,0,0,10741.32053104225,12276.771270770983,26763.09318846784,7184.839475105982,5034.017282417997,9706.520266671165,-79.21687920573255,43.85845289473914
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112.9945428945794,0,0,0,10365.237449925891,12776.771243485708,26956.46996037625,7334.454223885782,5306.8576298083,9927.40768832658,-79.21066058465897,43.85835566601948
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.016401791505,13276.77121825577,27157.67641818286,7514.420752227807,5611.073498576496,10168.102631916903,-79.2044419948314,43.858258099087
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9646.89114061416,13776.771194856596,27366.539864308208,7722.617413852902,5941.847668006634,10427.233518826502,-79.19822343635819,43.85816019394636
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9307.238544359276,14276.771173097406,27582.88635829905,7956.828526491165,6294.994965301634,10703.4614297943,-79.19200490934762,43.858061950602185
74,0,0,0,0,0,0,0,0,0,0,0,0,0,81625.93572353479,95863.63599611912,0,0,0,0,0,1076.6111218565245,0,0,0,0,0,8982.58704184745,14776.771152809852,27806.5412369983,8214.829315281964,6666.96104057476,10995.49791060134,-79.185786413908,43.85796336905915
75,3414.011875424323,5525.631824581884,0,0,0,0,0,263.6517068118447,0,0,0,0,0,269932.29757762543,290127.7314010503,0,1779.1086419597268,0,0,0,1554.0224546546256,0,0,0,0,0,8674.621064180135,15276.771133850856,28037.32960313711,8494.452375430294,7054.769834652031,11129.337239216373,-79.17956795014763,43.85786444932191
76,55898.11639470968,61734.4514794281,0,1779.1086419597268,0,0,0,792.7864523320263,0,0,0,0,0,306672.39947232103,322112.81412110163,0,1779.1086419597268,0,0,0,1636.0429781063494,0,0,0,0,0,8385.179261642143,15776.771116093229,28275.076781239713,8793.635291373384,7455.94965938525,11022.37823787693,-79.1733495181748,43.85776519139517
77,27583.241607967764,29707.409820899367,0,627.8382561081089,0,0,0,414.68807425723503,0,0,0,0,0,188818.56265348196,193917.18382513523,0,1779.1086419597268,0,0,0,1032.5365797942527,0,0,0,0,0,8116.243705842439,16276.771099426807,28519.60874021697,9110.451257590048,7868.455580776995,10937.252701361367,-79.16713111809783,43.857665595283635
78,0,0,0,0,0,0,0,0,0,0,0,0,0,3792.5936860925863,3767.879433694121,0,0,0,0,0,343.55603653322373,0,0,0,0,0,7869.916933194564,16776.77108375358,28770.752482427575,9443.125679358394,8290.597151594762,10874.473379803318,-79.16091275002499,43.857565660992016
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7648.383697104708,17276.77106898765,29028.33639937308,9790.042036446688,8720.975234078081,10834.428730794483,-79.15469441406456,43.85746538852509
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7453.854963768143,17776.771055052468,29292.190594512176,10149.740073254594,9158.428737331376,10817.371240614746,-79.14847611032486,43.85736477788758
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7288.493291733596,18276.771041879627,29562.14717396697,10520.908897707724,9601.990670696852,10823.409591801152,-79.14225783891412,43.85726382908426
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7149.175745374644,18776.77102940822,29838.040506128,10902.377012060211,10050.852339156092,10852.505232733458,-79.13603959994064,43.85716254211993
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.7549907683876,0,0,0,7039.549739404592,19276.771017584007,30119.707451358074,11293.100769599829,10504.334374290158,10904.473598533834,-79.1298213935127,43.85706091699937
84,0,0,0,0,0,0,0,0,0,702.7707709842683,0,0,0,0,0,0,0,0,0,0,0,0,2519.2994172619,0,0,0,6963.634283928904,19776.77100635768,30406.98756314829,11692.152302787275,10961.863370352155,10978.989894144908,-79.12360321973856,43.856958953727435
85,0,0,0,0,0,0,0,0,0,2211.065118622337,0,0,0,0,0,0,0,0,0,0,0,0,3075.6612707765926,0,0,0,6923.087775484959,20276.77099568455,30699.7232621973,12098.707614898474,11075.599023544895,11075.599023544895,-79.11738507872649,43.85685665230895
86,0,0,0,0,0,0,0,0,0,1434.7994400452956,0,0,0,0,0,0,0,0,0,0,0,0,2232.0442428641327,0,0,0,6918.532088082557,20776.770985525454,30997.75998496591,12512.035263298993,11193.728974964622,11193.728974964622,-79.11116697058473,43.85675401274874
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28639.608283374804,19116.423415065015,34034.581305564214,17429.32017258113,12298.14090586937,15036.479456793311,-79.63991514770073,43.85977016936329
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28389.86945016236,18748.723566899207,33685.91456907669,17036.279206154235,12234.807525548224,14660.179166209524,-79.63369512383657,43.85969596068444
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28144.866642267098,18387.268056781693,33341.100102803786,16648.9764460681,12191.667672381984,14291.465702164696,-79.62747512383918,43.859621413568505
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27906.631629868454,18032.432387115212,33000.258662247215,16267.8217415059,12168.936111279265,13930.941484585008,-79.62125514781707,43.859546528019024
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27675.38002520222,17684.61503680051,32663.514622362414,15893.257429649384,12166.727231552026,13579.258793384955,-79.61503519587868,43.85947130403953
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27451.288315005248,17344.238242245585,32330.996013041942,15525.760504297146,12152.171368930922,13237.122349986395,-79.60881526813255,43.8593957416336
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27234.507902503417,17011.748628748323,32002.834544855392,15165.844742330832,12157.976964361182,12905.291427910428,-79.6025953646871,43.85931984080485
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27025.223351835608,16687.617643380356,31679.165623725497,14814.062719597456,12184.31527628904,12584.581263199892,-79.59637548565085,43.859243601556834
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26821.91446894272,16372.34173280087,31360.128353141365,14471.007628077075,12231.053660175094,12275.863484939717,-79.59015563113229,43.8591670238932
